City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
615,Olinda,BR,78.8,few clouds,-8.01,-34.86,Hotel 5 Sóis
617,Ransang,PH,80.31,overcast clouds,8.96,117.58,
622,Ormara,PK,82.99,overcast clouds,25.21,64.64,
623,Thinadhoo,MV,84.29,overcast clouds,0.53,72.93,
627,Camacari,BR,78.8,scattered clouds,-12.7,-38.32,Sítio Blasi
628,Mahuva,IN,80.42,light rain,21.09,71.76,Hotel Blue Diamond.
629,Barras,BR,84.83,broken clouds,-4.24,-42.29,DIMAS HOTEL
634,Ternate,ID,81.57,light rain,0.8,127.4,Grand Dafam Bela Ternate
638,Lipovtsy,RU,75.47,overcast clouds,44.2,131.72,"Ooo ""Atkom"""
640,Lubao,PH,84.0,broken clouds,14.92,120.55,Hacienda Gracia
641,Cam Ranh,VN,82.4,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
644,Labelle,US,80.6,scattered clouds,26.76,-81.44,La Belle Motel
645,Urucara,BR,86.34,scattered clouds,-2.54,-57.76,Pousada Maria Bonita
648,Marawi,PH,78.01,light rain,8.0,124.29,Salihmaruhom
650,Mitsamiouli,KM,76.37,scattered clouds,-11.38,43.28,Foyer ADM
651,Puerto Narino,CO,78.8,broken clouds,-3.77,-70.38,Eware Refugio Amazonico
652,Hobyo,SO,76.03,broken clouds,5.35,48.53,Osmani Hotel
655,Worthington,US,81.0,scattered clouds,40.09,-83.02,Sheraton Suites Columbus
657,Ha Tinh,VN,78.48,light rain,18.33,105.9,Phú Quý
660,Salalah,OM,77.0,haze,17.02,54.09,HAMDAN PLAZA HOTEL
667,Tecoanapa,MX,79.14,moderate rain,16.52,-98.75,Hotel Manglares
668,Adeje,ES,77.0,clear sky,28.12,-16.73,Gran Tacande Wellness & Relax Costa Adeje
674,Freetown,SL,75.79,overcast clouds,8.48,-13.23,The Country Lodge Hotel
676,Damara,CF,78.8,few clouds,4.96,18.7,
677,Salvador,SV,84.2,scattered clouds,13.83,-88.92,Chico's Ranch
679,Oriximina,BR,85.68,scattered clouds,-1.77,-55.87,Pousada Tia Amélia
681,Allen,US,78.8,broken clouds,41.07,-85.01,Holiday Inn Express Fort Wayne-East (New Haven)
682,Santo Domingo,DO,86.0,scattered clouds,18.5,-69.99,Micro Hotel Condo Suites
683,Escarcega,MX,78.62,moderate rain,18.61,-90.75,Hotel Maria Isabel
690,Gigmoto,PH,83.23,overcast clouds,13.78,124.39,Cj's Travellers Inn
692,Mataram,ID,75.2,scattered clouds,-8.58,116.12,Hotel Santika Mataram
698,Bucerias,MX,86.0,overcast clouds,20.75,-105.33,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
702,New Iberia,US,89.6,clear sky,30.0,-91.82,La Quinta Inn & Suites by Wyndham New Iberia
706,Saint Anthony,US,75.99,few clouds,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
707,Miyako,JP,77.04,broken clouds,39.64,141.95,Hotel Route Inn Miyako
712,Rudbar,AF,75.52,clear sky,30.15,62.6,
713,Sterling,US,78.01,clear sky,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
714,Bawku,GH,77.99,broken clouds,11.06,-0.24,Ultimate Guest House
716,Cameta,BR,83.21,broken clouds,-2.24,-49.5,Hotel San Juan
717,Kokoda,PG,78.19,broken clouds,-8.88,147.74,Daito Guest House
